file,true_mod,snr_db,hypothesis,correct,carrier_lock,measured_ber,decodes,status,other_failed
2fsk_13dB_4027,2fsk,13.0,8psk,False,,1.0,False,failed,signal_present
2fsk_13dB_4027,2fsk,13.0,16qam,False,,1.0,False,failed,signal_present
2fsk_13dB_5027,2fsk,13.0,bpsk,False,,1.0,False,failed,signal_present
2fsk_13dB_5027,2fsk,13.0,qpsk,False,,1.0,False,failed,signal_present
2fsk_13dB_5027,2fsk,13.0,8psk,False,,1.0,False,failed,signal_present
2fsk_13dB_5027,2fsk,13.0,16qam,False,,1.0,False,failed,signal_present
2fsk_13dB_6027,2fsk,13.0,bpsk,False,,1.0,False,failed,signal_present
2fsk_13dB_6027,2fsk,13.0,qpsk,False,,1.0,False,failed,signal_present
2fsk_13dB_6027,2fsk,13.0,8psk,False,,1.0,False,failed,signal_present
2fsk_13dB_6027,2fsk,13.0,16qam,False,,1.0,False,failed,signal_present
2fsk_13dB_7027,2fsk,13.0,bpsk,False,,1.0,False,failed,signal_present
2fsk_13dB_7027,2fsk,13.0,qpsk,False,,1.0,False,failed,signal_present
2fsk_13dB_7027,2fsk,13.0,8psk,False,,1.0,False,failed,signal_present
2fsk_13dB_7027,2fsk,13.0,16qam,False,,1.0,False,failed,signal_present
2fsk_13dB_8027,2fsk,13.0,bpsk,False,,1.0,False,failed,signal_present
2fsk_13dB_8027,2fsk,13.0,qpsk,False,,1.0,False,failed,signal_present
2fsk_13dB_8027,2fsk,13.0,8psk,False,,1.0,False,failed,signal_present
2fsk_13dB_8027,2fsk,13.0,16qam,False,,1.0,False,failed,signal_present
2fsk_15dB_2028,2fsk,15.0,bpsk,False,,1.0,False,failed,signal_present
2fsk_15dB_2028,2fsk,15.0,qpsk,False,,1.0,False,failed,signal_present
2fsk_15dB_2028,2fsk,15.0,8psk,False,,1.0,False,failed,signal_present
2fsk_15dB_2028,2fsk,15.0,16qam,False,,1.0,False,failed,signal_present
2fsk_15dB_3028,2fsk,15.0,bpsk,False,,1.0,False,failed,signal_present
2fsk_15dB_3028,2fsk,15.0,qpsk,False,,1.0,False,failed,signal_present
2fsk_15dB_3028,2fsk,15.0,8psk,False,,1.0,False,failed,signal_present
