file,scheme,snr_db,envelope_variance,std_over_mean
8psk_4dB_3012.wav,8psk,4,0.17491083564329268,0.4182234278986445
8psk_4dB_4012.wav,8psk,4,0.17678980454383,0.42046379694788233
8psk_4dB_5012.wav,8psk,4,0.17597963111198736,0.4194992623497536
8psk_4dB_6012.wav,8psk,4,0.17684848475609896,0.420533571497091
8psk_4dB_7012.wav,8psk,4,0.1765133275725127,0.42013489211503574
8psk_4dB_8012.wav,8psk,4,0.17657506016940722,0.42020835328371003
8psk_8dB_2013.wav,8psk,8,0.12570438829881286,0.35454814665826817
8psk_8dB_3013.wav,8psk,8,0.12569518815570244,0.3545351719585836
8psk_8dB_4013.wav,8psk,8,0.12525849972246314,0.35391877560036733
8psk_8dB_5013.wav,8psk,8,0.12471022945186847,0.35314335538399766
8psk_8dB_6013.wav,8psk,8,0.1251876407022753,0.35381865510777594
8psk_8dB_7013.wav,8psk,8,0.12415068798504145,0.3523502348304049
8psk_8dB_8013.wav,8psk,8,0.12541164159266183,0.3541350612304037
bpsk_10dB_2002.wav,bpsk,10,0.17024822318028054,0.41261146758213174
bpsk_10dB_3002.wav,bpsk,10,0.1701846896024801,0.4125344708051438
bpsk_10dB_4002.wav,bpsk,10,0.17061461289974958,0.4130552177369868
bpsk_10dB_5002.wav,bpsk,10,0.17141273758299427,0.41402021397873107
bpsk_10dB_6002.wav,bpsk,10,0.17119480157774847,0.4137569353832616
bpsk_10dB_7002.wav,bpsk,10,0.17207411338878972,0.4148181690678335
bpsk_10dB_8002.wav,bpsk,10,0.1713495366820247,0.41394388107812957
bpsk_13dB_2003.wav,bpsk,13,0.16611620478182026,0.40757355751056795
bpsk_13dB_3003.wav,bpsk,13,0.1661566568266261,0.40762317994273345
bpsk_13dB_4003.wav,bpsk,13,0.16484866650057986,0.40601559883898536
bpsk_13dB_5003.wav,bpsk,13,0.16660156434492915,0.4081685489414013
bpsk_13dB_6003.wav,bpsk,13,0.16642923077868121,0.4079573884349703
bpsk_13dB_7003.wav,bpsk,13,0.1672300688272922,0.4089377322127321
bpsk_13dB_8003.wav,bpsk,13,0.16497048638432196,0.40616558985753826
bpsk_15dB_2004.wav,bpsk,15,0.16473436464044253,0.40587481400111847
bpsk_15dB_3004.wav,bpsk,15,0.16497792181594245,0.40617474295670136
bpsk_15dB_4004.wav,bpsk,15,0.16478378879994118,0.4059356954000734
bpsk_15dB_5004.wav,bpsk,15,0.1649159419202327,0.4060984387069626
bpsk_15dB_6004.wav,bpsk,15,0.16538243012332918,0.40667238672342776
bpsk_15dB_7004.wav,bpsk,15,0.16615799332875783,0.40762481932379657
bpsk_15dB_8004.wav,bpsk,15,0.1639067085076075,0.4048539347809374
bpsk_20dB_2005.wav,bpsk,20,0.1673722931479232,0.40911159009238934
