file,true_mod,snr_db,arm,chosen_mod,mod_correct,status,confidence,est_ber,est_ber_valid,measured_ber,decodes,confidently_wrong,old_rule_ok,lock_failures,chain_runs,secs,reason
16qam_13dB_7021,16qam,13,s2-top,16qam,True,ok,0.9336,3.804e-05,True,5e-05,True,False,True,,1,0.256,
16qam_13dB_7021,16qam,13,search,16qam,True,ok,0.9336,3.804e-05,True,5e-05,True,False,True,,1,0.296,
16qam_13dB_8021,16qam,13,truth-params,16qam,True,ok,0.9515,5.842e-05,True,0.0,True,False,True,,1,0.267,
16qam_13dB_8021,16qam,13,s2-top,16qam,True,ok,0.9515,5.842e-05,True,0.0,True,False,True,,1,0.277,
16qam_13dB_8021,16qam,13,search,16qam,True,ok,0.9515,5.842e-05,True,0.0,True,False,True,,1,0.299,
16qam_15dB_2022,16qam,15,truth-params,16qam,True,ok,0.974,7e-08,True,0.0,True,False,True,,1,0.277,
16qam_15dB_2022,16qam,15,s2-top,16qam,True,ok,0.974,7e-08,True,0.0,True,False,True,,1,0.277,
16qam_15dB_2022,16qam,15,search,16qam,True,ok,0.974,7e-08,True,0.0,True,False,True,,1,0.296,
16qam_15dB_3022,16qam,15,truth-params,16qam,True,ok,0.9756,0.0,True,0.0,True,False,True,,1,0.28,
16qam_15dB_3022,16qam,15,s2-top,16qam,True,ok,0.9756,0.0,True,0.0,True,False,True,,1,0.293,
16qam_15dB_3022,16qam,15,search,16qam,True,ok,0.9756,0.0,True,0.0,True,False,True,,1,0.286,
16qam_15dB_4022,16qam,15,truth-params,16qam,True,ok,0.9698,1.09e-06,True,0.0,True,False,True,,1,0.292,
16qam_15dB_4022,16qam,15,s2-top,16qam,True,ok,0.9698,1.09e-06,True,0.0,True,False,True,,1,0.258,
16qam_15dB_4022,16qam,15,search,16qam,True,ok,0.9698,1.09e-06,True,0.0,True,False,True,,1,0.283,
16qam_15dB_5022,16qam,15,truth-params,16qam,True,ok,0.9193,1e-08,True,0.0,True,False,True,,1,0.277,
16qam_15dB_5022,16qam,15,s2-top,16qam,True,ok,0.9221,1e-08,True,0.0,True,False,True,,1,0.262,
16qam_15dB_5022,16qam,15,search,16qam,True,ok,0.9221,1e-08,True,0.0,True,False,True,,1,0.294,
16qam_15dB_6022,16qam,15,truth-params,16qam,True,ok,0.9422,0.0,True,0.0,True,False,True,,1,0.301,
16qam_15dB_6022,16qam,15,s2-top,16qam,True,ok,0.9422,0.0,True,0.0,True,False,True,,1,0.257,
16qam_15dB_6022,16qam,15,search,16qam,True,ok,0.9422,0.0,True,0.0,True,False,True,,1,0.28,
16qam_15dB_7022,16qam,15,truth-params,16qam,True,ok,0.9411,1.086e-05,True,0.0,True,False,True,,1,0.272,
16qam_15dB_7022,16qam,15,s2-top,16qam,True,ok,0.9411,1.086e-05,True,0.0,True,False,True,,1,0.278,
16qam_15dB_7022,16qam,15,search,16qam,True,ok,0.9411,1.086e-05,True,0.0,True,False,True,,1,0.278,
16qam_15dB_8022,16qam,15,truth-params,16qam,True,ok,0.9759,1.9e-07,True,0.0,True,False,True,,1,0.29,
16qam_15dB_8022,16qam,15,s2-top,16qam,True,ok,0.9759,1.9e-07,True,0.0,True,False,True,,1,0.254,
16qam_15dB_8022,16qam,15,search,16qam,True,ok,0.9759,1.9e-07,True,0.0,True,False,True,,1,0.295,
16qam_20dB_2023,16qam,20,truth-params,16qam,True,ok,0.9338,0.0,True,0.0,True,False,True,,1,0.288,
16qam_20dB_2023,16qam,20,s2-top,16qam,True,ok,0.9338,0.0,True,0.0,True,False,True,,1,0.245,
16qam_20dB_2023,16qam,20,search,16qam,True,ok,0.9338,0.0,True,0.0,True,False,True,,1,0.29,
16qam_20dB_3023,16qam,20,truth-params,16qam,True,ok,0.9333,0.0,True,0.0,True,False,True,,1,0.321,
16qam_20dB_3023,16qam,20,s2-top,16qam,True,ok,0.9333,0.0,True,0.0,True,False,True,,1,0.264,
16qam_20dB_3023,16qam,20,search,16qam,True,ok,0.9333,0.0,True,0.0,True,False,True,,1,0.287,
16qam_20dB_4023,16qam,20,truth-params,16qam,True,ok,0.9926,0.0,True,0.0,True,False,True,,1,0.276,
16qam_20dB_4023,16qam,20,s2-top,16qam,True,ok,0.9926,0.0,True,0.0,True,False,True,,1,0.266,
16qam_20dB_4023,16qam,20,search,16qam,True,ok,0.9926,0.0,True,0.0,True,False,True,,1,0.32,
16qam_20dB_5023,16qam,20,truth-params,16qam,True,ok,0.9504,0.0,True,0.0,True,False,True,,1,0.258,
16qam_20dB_5023,16qam,20,s2-top,16qam,True,ok,0.9504,0.0,True,0.0,True,False,True,,1,0.265,
16qam_20dB_5023,16qam,20,search,16qam,True,ok,0.9504,0.0,True,0.0,True,False,True,,1,0.289,
16qam_20dB_6023,16qam,20,truth-params,16qam,True,ok,0.9924,0.0,True,0.0,True,False,True,,1,0.288,
16qam_20dB_6023,16qam,20,s2-top,16qam,True,ok,0.9924,0.0,True,0.0,True,False,True,,1,0.25,
16qam_20dB_6023,16qam,20,search,16qam,True,ok,0.9924,0.0,True,0.0,True,False,True,,1,0.271,
16qam_20dB_7023,16qam,20,truth-params,16qam,True,ok,0.9925,0.0,True,0.0,True,False,True,,1,0.278,
16qam_20dB_7023,16qam,20,s2-top,16qam,True,ok,0.9925,0.0,True,0.0,True,False,True,,1,0.25,
16qam_20dB_7023,16qam,20,search,16qam,True,ok,0.9925,0.0,True,0.0,True,False,True,,1,0.283,
16qam_20dB_8023,16qam,20,truth-params,16qam,True,ok,0.9927,0.0,True,0.0,True,False,True,,1,0.276,
16qam_20dB_8023,16qam,20,s2-top,16qam,True,ok,0.9927,0.0,True,0.0,True,False,True,,1,0.266,
16qam_20dB_8023,16qam,20,search,16qam,True,ok,0.9927,0.0,True,0.0,True,False,True,,1,0.311,
16qam_4dB_2018,16qam,4,truth-params,16qam,True,low_confidence,0.0343,0.0559221,False,0.424922,False,False,False,carrier_locked|output_usable,1,0.267,"carrier lock 0.03 below 0.59; the receiver estimates its own output BER at 0.0559, over the 0.05 a lock should produce -"
16qam_4dB_2018,16qam,4,s2-top,16qam,True,low_confidence,0.0308,0.05591789,False,0.424922,False,False,False,carrier_locked|output_usable,1,0.264,"carrier lock 0.03 below 0.59; the receiver estimates its own output BER at 0.0559, over the 0.05 a lock should produce -"
16qam_4dB_2018,16qam,4,search,16qam,True,low_confidence,0.0308,0.05591789,False,0.424922,False,False,False,carrier_locked|output_usable,12,3.132,"carrier lock 0.03 below 0.59; the receiver estimates its own output BER at 0.0559, over the 0.05 a lock should produce -"
16qam_4dB_3018,16qam,4,truth-params,16qam,True,low_confidence,0.0161,0.05810681,False,0.423366,False,False,False,carrier_locked|output_usable,1,0.274,"carrier lock 0.02 below 0.59; the receiver estimates its own output BER at 0.0581, over the 0.05 a lock should produce -"
16qam_4dB_3018,16qam,4,s2-top,16qam,True,low_confidence,0.0161,0.05810681,False,0.423366,False,False,False,carrier_locked|output_usable,1,0.258,"carrier lock 0.02 below 0.59; the receiver estimates its own output BER at 0.0581, over the 0.05 a lock should produce -"
16qam_4dB_3018,16qam,4,search,4fsk,False,low_confidence,0.1228,0.36580817,False,0.483258,False,False,False,output_usable|tone_margin,12,2.078,"the receiver estimates its own output BER at 0.366, over the 0.05 a lock should produce - it is describing a demodulatio"
16qam_4dB_4018,16qam,4,truth-params,16qam,True,low_confidence,0.0211,0.05646725,False,0.423108,False,False,False,carrier_locked|output_usable,1,0.3,"carrier lock 0.02 below 0.59; the receiver estimates its own output BER at 0.0565, over the 0.05 a lock should produce -"
16qam_4dB_4018,16qam,4,s2-top,16qam,True,low_confidence,0.0185,0.05647911,False,0.423108,False,False,False,carrier_locked|output_usable,1,0.262,"carrier lock 0.02 below 0.59; the receiver estimates its own output BER at 0.0565, over the 0.05 a lock should produce -"
16qam_4dB_4018,16qam,4,search,2fsk,False,low_confidence,0.1683,0.34585414,False,0.477763,False,False,True,output_usable,12,2.072,"the receiver estimates its own output BER at 0.346, over the 0.05 a lock should produce - it is describing a demodulatio"
16qam_4dB_5018,16qam,4,truth-params,16qam,True,low_confidence,0.0586,0.05791288,False,0.389006,False,False,False,carrier_locked|output_usable,1,0.305,"carrier lock 0.06 below 0.59; the receiver estimates its own output BER at 0.0579, over the 0.05 a lock should produce -"
16qam_4dB_5018,16qam,4,s2-top,16qam,True,low_confidence,0.0586,0.05791289,False,0.389006,False,False,False,carrier_locked|output_usable,1,0.255,"carrier lock 0.06 below 0.59; the receiver estimates its own output BER at 0.0579, over the 0.05 a lock should produce -"
16qam_4dB_5018,16qam,4,search,2fsk,False,low_confidence,0.2323,0.285759,False,0.479133,False,False,True,output_usable,6,1.088,"the receiver estimates its own output BER at 0.286, over the 0.05 a lock should produce - it is describing a demodulatio"
16qam_4dB_6018,16qam,4,truth-params,16qam,True,low_confidence,0.0709,0.0580037,False,0.422514,False,False,False,carrier_locked|output_usable,1,0.279,"carrier lock 0.07 below 0.59; the receiver estimates its own output BER at 0.058, over the 0.05 a lock should produce - "
16qam_4dB_6018,16qam,4,s2-top,16qam,True,low_confidence,0.0709,0.05801366,False,0.422514,False,False,False,carrier_locked|output_usable,1,0.259,"carrier lock 0.07 below 0.59; the receiver estimates its own output BER at 0.058, over the 0.05 a lock should produce - "
16qam_4dB_6018,16qam,4,search,2fsk,False,low_confidence,0.1039,0.40775911,False,0.478749,False,False,False,output_usable|tone_margin,12,2.085,"the receiver estimates its own output BER at 0.408, over the 0.05 a lock should produce - it is describing a demodulatio"
16qam_4dB_7018,16qam,4,truth-params,16qam,True,low_confidence,0.0152,0.05623571,False,0.421641,False,False,False,carrier_locked|output_usable,1,0.335,"carrier lock 0.02 below 0.59; the receiver estimates its own output BER at 0.0562, over the 0.05 a lock should produce -"
16qam_4dB_7018,16qam,4,s2-top,16qam,True,low_confidence,0.0152,0.05623572,False,0.421641,False,False,False,carrier_locked|output_usable,1,0.264,"carrier lock 0.02 below 0.59; the receiver estimates its own output BER at 0.0562, over the 0.05 a lock should produce -"
16qam_4dB_7018,16qam,4,search,2fsk,False,low_confidence,0.2115,0.30658269,False,0.479683,False,False,True,output_usable,12,2.049,"the receiver estimates its own output BER at 0.307, over the 0.05 a lock should produce - it is describing a demodulatio"
16qam_4dB_8018,16qam,4,truth-params,16qam,True,low_confidence,0.042,0.05785754,False,0.423493,False,False,False,carrier_locked|output_usable,1,0.28,"carrier lock 0.04 below 0.59; the receiver estimates its own output BER at 0.0579, over the 0.05 a lock should produce -"
16qam_4dB_8018,16qam,4,s2-top,16qam,True,low_confidence,0.042,0.05785757,False,0.423493,False,False,False,carrier_locked|output_usable,1,0.262,"carrier lock 0.04 below 0.59; the receiver estimates its own output BER at 0.0579, over the 0.05 a lock should produce -"
16qam_4dB_8018,16qam,4,search,2fsk,False,low_confidence,0.2659,0.25714779,False,0.479844,False,False,True,output_usable,6,1.072,"the receiver estimates its own output BER at 0.257, over the 0.05 a lock should produce - it is describing a demodulatio"
16qam_8dB_2019,16qam,8,truth-params,16qam,True,ok,0.7193,0.01098189,True,0.011587,False,False,True,,1,0.294,
16qam_8dB_2019,16qam,8,s2-top,16qam,True,ok,0.7193,0.01098771,True,0.011589,False,False,True,,1,0.234,
16qam_8dB_2019,16qam,8,search,16qam,True,ok,0.7193,0.01098771,True,0.011589,False,False,True,,1,0.275,
16qam_8dB_3019,16qam,8,truth-params,16qam,True,ok,0.7881,0.01070969,True,0.013037,False,False,True,,1,0.256,
16qam_8dB_3019,16qam,8,s2-top,16qam,True,ok,0.7881,0.01070969,True,0.013037,False,False,True,,1,0.221,
16qam_8dB_3019,16qam,8,search,16qam,True,ok,0.7881,0.01070969,True,0.013037,False,False,True,,1,0.247,
16qam_8dB_4019,16qam,8,truth-params,16qam,True,ok,0.6961,0.01091465,True,0.012395,False,False,True,,1,0.255,
16qam_8dB_4019,16qam,8,s2-top,16qam,True,ok,0.6961,0.01091465,True,0.012395,False,False,True,,1,0.268,
16qam_8dB_4019,16qam,8,search,16qam,True,ok,0.6961,0.01091465,True,0.012395,False,False,True,,1,0.248,
16qam_8dB_5019,16qam,8,truth-params,16qam,True,ok,0.6963,0.01059347,True,0.012257,False,False,True,,1,0.243,
16qam_8dB_5019,16qam,8,s2-top,16qam,True,ok,0.6963,0.01059347,True,0.012257,False,False,True,,1,0.214,
16qam_8dB_5019,16qam,8,search,16qam,True,ok,0.6963,0.01059347,True,0.012257,False,False,True,,1,0.234,
