case,seed,path,plugin,declared_fs,raised,status,modulation,chain_runs,n_llrs,finite,rate_used,ber,secs,trace
empty band,2,plug-in,16qam,200000.0,,failed,16qam,,,True,,,0.008058100007474422,
empty band,2,plug-in,2fsk,200000.0,,failed,2fsk,,,True,,,0.02843469986692071,
empty band,2,plug-in,4fsk,200000.0,,failed,4fsk,,,True,,,0.027100499719381332,
empty band,3,blind search,,200000.0,,failed,,0,0,,,,0.13984719989821315,
empty band,3,plug-in,bpsk,200000.0,,failed,bpsk,,,True,,,0.008950400166213512,
empty band,3,plug-in,qpsk,200000.0,,failed,qpsk,,,True,,,0.007771400269120932,
empty band,3,plug-in,8psk,200000.0,,failed,8psk,,,True,,,0.008496900089085102,
empty band,3,plug-in,16qam,200000.0,,failed,16qam,,,True,,,0.009308699984103441,
empty band,3,plug-in,2fsk,200000.0,,failed,2fsk,,,True,,,0.029296800028532743,
empty band,3,plug-in,4fsk,200000.0,,failed,4fsk,,,True,,,0.02620230009779334,
empty band,4,blind search,,200000.0,,failed,,0,0,,,,0.1479612998664379,
empty band,4,plug-in,bpsk,200000.0,,failed,bpsk,,,True,,,0.007629200350493193,
empty band,4,plug-in,qpsk,200000.0,,failed,qpsk,,,True,,,0.008518100250512362,
empty band,4,plug-in,8psk,200000.0,,failed,8psk,,,True,,,0.007228100206702948,
empty band,4,plug-in,16qam,200000.0,,failed,16qam,,,True,,,0.007937199901789427,
empty band,4,plug-in,2fsk,200000.0,,failed,2fsk,,,True,,,0.02754419995471835,
empty band,4,plug-in,4fsk,200000.0,,failed,4fsk,,,True,,,0.02690279996022582,
empty band,5,blind search,,200000.0,,failed,,0,0,,,,0.2026305003091693,
empty band,5,plug-in,bpsk,200000.0,,failed,bpsk,,,True,,,0.009511000011116266,
empty band,5,plug-in,qpsk,200000.0,,failed,qpsk,,,True,,,0.00724929990246892,
empty band,5,plug-in,8psk,200000.0,,failed,8psk,,,True,,,0.008946900255978107,
empty band,5,plug-in,16qam,200000.0,,failed,16qam,,,True,,,0.00784339988604188,
empty band,5,plug-in,2fsk,200000.0,,failed,2fsk,,,True,,,0.030645399820059538,
empty band,5,plug-in,4fsk,200000.0,,failed,4fsk,,,True,,,0.02884369995445013,
empty band,6,blind search,,200000.0,,failed,,0,0,,,,0.14904069993644953,
empty band,6,plug-in,bpsk,200000.0,,failed,bpsk,,,True,,,0.007962599862366915,
empty band,6,plug-in,qpsk,200000.0,,failed,qpsk,,,True,,,0.007537799887359142,
empty band,6,plug-in,8psk,200000.0,,failed,8psk,,,True,,,0.007400800008326769,
empty band,6,plug-in,16qam,200000.0,,failed,16qam,,,True,,,0.008415800053626299,
