kind,file,true_mod,true_family,snr_db,family_asked,proposed_rate,true_rate,rel_error,score,screen
corpus,2fsk_8dB_5025,2fsk,fsk,8.0,fsk,50000.0,50000.0,0.0,110.794,pass
corpus,2fsk_8dB_6025,2fsk,fsk,8.0,psk,78765.11,50000.0,0.575302,4.27,fail
corpus,2fsk_8dB_6025,2fsk,fsk,8.0,fsk,50000.0,50000.0,0.0,114.914,pass
corpus,2fsk_8dB_7025,2fsk,fsk,8.0,psk,45558.93,50000.0,0.088821,4.225,fail
corpus,2fsk_8dB_7025,2fsk,fsk,8.0,fsk,50000.0,50000.0,0.0,112.861,pass
corpus,2fsk_8dB_8025,2fsk,fsk,8.0,psk,41598.51,50000.0,0.16803,3.968,fail
corpus,2fsk_8dB_8025,2fsk,fsk,8.0,fsk,50000.0,50000.0,0.0,109.872,pass
corpus,4fsk_10dB_2032,4fsk,fsk,10.0,psk,58241.27,50000.0,0.164825,3.673,fail
corpus,4fsk_10dB_2032,4fsk,fsk,10.0,fsk,50000.0,50000.0,0.0,119.928,pass
corpus,4fsk_10dB_3032,4fsk,fsk,10.0,psk,63023.38,50000.0,0.260468,4.033,fail
corpus,4fsk_10dB_3032,4fsk,fsk,10.0,fsk,50000.0,50000.0,0.0,125.425,pass
corpus,4fsk_10dB_4032,4fsk,fsk,10.0,psk,76158.14,50000.0,0.523163,3.869,fail
corpus,4fsk_10dB_4032,4fsk,fsk,10.0,fsk,50000.0,50000.0,0.0,120.624,pass
corpus,4fsk_10dB_5032,4fsk,fsk,10.0,psk,43765.26,50000.0,0.124695,4.767,unknown
corpus,4fsk_10dB_5032,4fsk,fsk,10.0,fsk,50000.0,50000.0,0.0,129.099,pass
corpus,4fsk_10dB_6032,4fsk,fsk,10.0,psk,69712.83,50000.0,0.394257,4.148,fail
corpus,4fsk_10dB_6032,4fsk,fsk,10.0,fsk,50000.0,50000.0,0.0,126.548,pass
corpus,4fsk_10dB_7032,4fsk,fsk,10.0,psk,4599.0,50000.0,0.90802,3.792,fail
